timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734780114702,718,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2671,252,2,2,https://www.ardacanuysal.com/arda,139,0,73
1734780115053,369,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2671,252,2,2,https://www.ardacanuysal.com/arda,50,0,25
1734780114852,568,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1709,126,2,2,https://www.ardacanuysal.com/arda,568,0,542
1734780115104,318,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1709,126,2,2,https://www.ardacanuysal.com/arda,318,0,290
1734780115430,71,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2493,252,2,2,https://www.ardacanuysal.com/arda,32,0,0
1734780115463,38,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1531,126,2,2,https://www.ardacanuysal.com/arda,38,0,0
1734780115431,134,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,51,0,0
1734780115483,82,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,82,0,0
1734780115503,101,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,61,0,0
1734780115565,39,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,39,0,0
1734780115567,73,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,35,0,0
1734780115603,37,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,37,0,0
1734780115607,68,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,40,0,0
1734780115647,28,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,28,0,0
1734780115641,56,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,29,0,0
1734780115671,26,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,26,0,0
1734780115676,52,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,25,0,0
1734780115701,27,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,27,0,0
1734780115556,172,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2671,252,3,3,https://www.ardacanuysal.com/arda,73,0,35
1734780115630,98,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1709,126,3,3,https://www.ardacanuysal.com/arda,98,0,72
1734780115698,51,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,26,0,0
1734780115724,25,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,25,0,0
1734780115728,52,HTTP Request,404,Not Found,Thread Group 1-2,text,False,,2493,252,3,3,https://www.ardacanuysal.com/arda,26,0,0
1734780115754,26,HTTP Request-1,404,Not Found,Thread Group 1-2,text,False,,1531,126,3,3,https://www.ardacanuysal.com/arda,26,0,0
1734780115729,54,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2493,252,2,2,https://www.ardacanuysal.com/arda,27,0,0
1734780115756,27,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1531,126,2,2,https://www.ardacanuysal.com/arda,27,0,0
1734780115749,51,HTTP Request,404,Not Found,Thread Group 1-1,text,False,,2493,252,2,2,https://www.ardacanuysal.com/arda,25,0,0
1734780115775,25,HTTP Request-1,404,Not Found,Thread Group 1-1,text,False,,1531,126,2,2,https://www.ardacanuysal.com/arda,25,0,0
1734780115783,55,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,28,0,0
1734780115811,27,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,27,0,0
1734780115839,59,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780115868,30,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,30,0,0
1734780115900,59,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780115930,29,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780115960,59,HTTP Request,404,Not Found,Thread Group 1-3,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,30,0,0
1734780115990,29,HTTP Request-1,404,Not Found,Thread Group 1-3,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,29,0,0
1734780116053,153,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2671,252,1,1,https://www.ardacanuysal.com/arda,55,0,27
1734780116111,95,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1709,126,1,1,https://www.ardacanuysal.com/arda,95,0,70
1734780116206,51,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116232,25,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116258,53,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116284,27,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116313,52,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,26,0,0
1734780116340,25,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116366,51,HTTP Request,404,Not Found,Thread Group 1-4,text,False,,2493,252,1,1,https://www.ardacanuysal.com/arda,25,0,0
1734780116392,25,HTTP Request-1,404,Not Found,Thread Group 1-4,text,False,,1531,126,1,1,https://www.ardacanuysal.com/arda,25,0,0
