timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729936880883,68,HTTP Request,403,Forbidden,Thread Group 1-2,text,false,,4783,141,8,8,http://www.trendyol.com/butik/liste/11/kozmetik,68,0,50
1729936880896,57,HTTP Request,403,Forbidden,Thread Group 1-3,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,57,0,37
1729936880873,81,HTTP Request,403,Forbidden,Thread Group 1-1,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,80,0,60
1729936880905,62,HTTP Request,403,Forbidden,Thread Group 1-4,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,57,0,37
1729936880914,58,HTTP Request,403,Forbidden,Thread Group 1-5,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,55,0,41
1729936880926,55,HTTP Request,403,Forbidden,Thread Group 1-6,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,53,0,40
1729936880937,53,HTTP Request,403,Forbidden,Thread Group 1-7,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,53,0,33
1729936880945,63,HTTP Request,403,Forbidden,Thread Group 1-8,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,62,0,45
1729936880958,50,HTTP Request,403,Forbidden,Thread Group 1-9,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,50,0,37
1729936880968,52,HTTP Request,403,Forbidden,Thread Group 1-10,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,52,0,33
1729936880992,54,HTTP Request,403,Forbidden,Thread Group 1-12,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,54,0,37
1729936880996,52,HTTP Request,403,Forbidden,Thread Group 1-13,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,50,0,34
1729936881008,57,HTTP Request,403,Forbidden,Thread Group 1-14,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,57,0,40
1729936881019,50,HTTP Request,403,Forbidden,Thread Group 1-15,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,50,0,38
1729936881028,54,HTTP Request,403,Forbidden,Thread Group 1-16,text,false,,4783,141,6,6,http://www.trendyol.com/butik/liste/11/kozmetik,53,0,40
1729936881039,92,HTTP Request,403,Forbidden,Thread Group 1-17,text,false,,4783,141,12,12,http://www.trendyol.com/butik/liste/11/kozmetik,92,0,37
1729936881058,85,HTTP Request,403,Forbidden,Thread Group 1-19,text,false,,4783,141,12,12,http://www.trendyol.com/butik/liste/11/kozmetik,84,0,70
1729936881049,96,HTTP Request,403,Forbidden,Thread Group 1-18,text,false,,4783,141,11,11,http://www.trendyol.com/butik/liste/11/kozmetik,94,0,79
1729936881071,74,HTTP Request,403,Forbidden,Thread Group 1-20,text,false,,4783,141,11,11,http://www.trendyol.com/butik/liste/11/kozmetik,74,0,57
1729936881083,63,HTTP Request,403,Forbidden,Thread Group 1-21,text,false,,4783,141,10,10,http://www.trendyol.com/butik/liste/11/kozmetik,62,0,45
1729936881101,80,HTTP Request,403,Forbidden,Thread Group 1-23,text,false,,4783,141,12,12,http://www.trendyol.com/butik/liste/11/kozmetik,75,0,60
1729936881092,89,HTTP Request,403,Forbidden,Thread Group 1-22,text,false,,4783,141,12,12,http://www.trendyol.com/butik/liste/11/kozmetik,89,0,69
1729936881121,61,HTTP Request,403,Forbidden,Thread Group 1-25,text,false,,4783,141,10,10,http://www.trendyol.com/butik/liste/11/kozmetik,60,0,42
1729936881117,69,HTTP Request,403,Forbidden,Thread Group 1-26,text,false,,4783,141,9,9,http://www.trendyol.com/butik/liste/11/kozmetik,65,0,46
1729936881112,74,HTTP Request,403,Forbidden,Thread Group 1-24,text,false,,4783,141,9,9,http://www.trendyol.com/butik/liste/11/kozmetik,70,0,51
1729936881127,60,HTTP Request,403,Forbidden,Thread Group 1-27,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,59,0,37
1729936881136,53,HTTP Request,403,Forbidden,Thread Group 1-28,text,false,,4783,141,7,7,http://www.trendyol.com/butik/liste/11/kozmetik,53,0,35
