timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729937237615,7882,HTTP Request,200,OK,Thread Group 1-39,text,true,,273497,282,500,500,https://www.trendyol.com/butik/liste/11/kozmetik,354,0,224
1729937237615,354,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,1211,141,500,500,http://www.trendyol.com/butik/liste/11/kozmetik,354,0,224
1729937237969,7528,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,272286,141,500,500,https://www.trendyol.com/butik/liste/11/kozmetik,1278,0,360
1729937237652,7869,HTTP Request,200,OK,Thread Group 1-58,text,true,,273463,282,499,499,https://www.trendyol.com/butik/liste/11/kozmetik,319,0,192
1729937237652,319,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,1211,141,499,499,http://www.trendyol.com/butik/liste/11/kozmetik,319,0,192
1729937237971,7550,HTTP Request-1,200,OK,Thread Group 1-58,text,true,,272252,141,499,499,https://www.trendyol.com/butik/liste/11/kozmetik,1398,0,393
1729937238297,8981,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-380,text,false,,4884,141,498,498,https://www.trendyol.com/butik/liste/11/kozmetik,3645,0,407
1729937238297,3645,HTTP Request-0,301,Moved Permanently,Thread Group 1-380,text,true,,1211,141,498,498,http://www.trendyol.com/butik/liste/11/kozmetik,3645,0,407
1729937241942,5336,HTTP Request-1,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-380,text,false,,3673,0,498,498,https://www.trendyol.com/butik/liste/11/kozmetik,0,0,5336
1729937238362,9374,HTTP Request,429,Too Many Requests,Thread Group 1-413,text,false,,2078,282,497,497,https://www.trendyol.com/butik/liste/11/kozmetik,3921,0,596
1729937238362,3921,HTTP Request-0,301,Moved Permanently,Thread Group 1-413,text,true,,1209,141,497,497,http://www.trendyol.com/butik/liste/11/kozmetik,3921,0,596
1729937242283,5453,HTTP Request-1,429,Too Many Requests,Thread Group 1-413,text,false,,869,141,497,497,https://www.trendyol.com/butik/liste/11/kozmetik,5453,0,4247
1729937238345,9403,HTTP Request,429,Too Many Requests,Thread Group 1-404,text,false,,2078,282,496,496,https://www.trendyol.com/butik/liste/11/kozmetik,3937,0,551
1729937238345,3937,HTTP Request-0,301,Moved Permanently,Thread Group 1-404,text,true,,1209,141,496,496,http://www.trendyol.com/butik/liste/11/kozmetik,3937,0,551
1729937242282,5466,HTTP Request-1,429,Too Many Requests,Thread Group 1-404,text,false,,869,141,496,496,https://www.trendyol.com/butik/liste/11/kozmetik,5466,0,4255
1729937238506,9281,HTTP Request,429,Too Many Requests,Thread Group 1-484,text,false,,2080,282,495,495,https://www.trendyol.com/butik/liste/11/kozmetik,2283,0,775
1729937238506,2283,HTTP Request-0,301,Moved Permanently,Thread Group 1-484,text,true,,1211,141,495,495,http://www.trendyol.com/butik/liste/11/kozmetik,2283,0,775
1729937240790,6997,HTTP Request-1,429,Too Many Requests,Thread Group 1-484,text,false,,869,141,495,495,https://www.trendyol.com/butik/liste/11/kozmetik,6997,0,5787
1729937238238,9623,HTTP Request,429,Too Many Requests,Thread Group 1-351,text,false,,2078,282,494,494,https://www.trendyol.com/butik/liste/11/kozmetik,4280,0,345
1729937238238,4280,HTTP Request-0,301,Moved Permanently,Thread Group 1-351,text,true,,1209,141,494,494,http://www.trendyol.com/butik/liste/11/kozmetik,4280,0,345
1729937242518,5343,HTTP Request-1,429,Too Many Requests,Thread Group 1-351,text,false,,869,141,494,494,https://www.trendyol.com/butik/liste/11/kozmetik,5343,0,4201
1729937238374,9545,HTTP Request,429,Too Many Requests,Thread Group 1-418,text,false,,2078,282,493,493,https://www.trendyol.com/butik/liste/11/kozmetik,4188,0,665
1729937238374,4188,HTTP Request-0,301,Moved Permanently,Thread Group 1-418,text,true,,1209,141,493,493,http://www.trendyol.com/butik/liste/11/kozmetik,4188,0,665
1729937242562,5357,HTTP Request-1,429,Too Many Requests,Thread Group 1-418,text,false,,869,141,493,493,https://www.trendyol.com/butik/liste/11/kozmetik,5357,0,4271
1729937237997,9968,HTTP Request,429,Too Many Requests,Thread Group 1-230,text,false,,2080,282,492,492,https://www.trendyol.com/butik/liste/11/kozmetik,350,0,139
1729937237997,350,HTTP Request-0,301,Moved Permanently,Thread Group 1-230,text,true,,1211,141,492,492,http://www.trendyol.com/butik/liste/11/kozmetik,350,0,139
1729937238347,9618,HTTP Request-1,429,Too Many Requests,Thread Group 1-230,text,false,,869,141,492,492,https://www.trendyol.com/butik/liste/11/kozmetik,9618,0,8562
1729937238002,9964,HTTP Request,429,Too Many Requests,Thread Group 1-233,text,false,,2080,282,492,492,https://www.trendyol.com/butik/liste/11/kozmetik,345,0,134
1729937238002,345,HTTP Request-0,301,Moved Permanently,Thread Group 1-233,text,true,,1211,141,492,492,http://www.trendyol.com/butik/liste/11/kozmetik,345,0,134
1729937238347,9619,HTTP Request-1,429,Too Many Requests,Thread Group 1-233,text,false,,869,141,492,492,https://www.trendyol.com/butik/liste/11/kozmetik,9619,0,8562
1729937238271,9758,HTTP Request,429,Too Many Requests,Thread Group 1-365,text,false,,2078,282,490,490,https://www.trendyol.com/butik/liste/11/kozmetik,5472,0,377
1729937238271,5472,HTTP Request-0,301,Moved Permanently,Thread Group 1-365,text,true,,1209,141,490,490,http://www.trendyol.com/butik/liste/11/kozmetik,5472,0,377
1729937243743,4286,HTTP Request-1,429,Too Many Requests,Thread Group 1-365,text,false,,869,141,490,490,https://www.trendyol.com/butik/liste/11/kozmetik,4286,0,3198
1729937237602,10450,HTTP Request,200,OK,Thread Group 1-33,text,true,,273502,282,489,489,https://www.trendyol.com/butik/liste/11/kozmetik,358,0,236
1729937237602,358,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,1211,141,489,489,http://www.trendyol.com/butik/liste/11/kozmetik,358,0,236
1729937237960,10092,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,272291,141,489,489,https://www.trendyol.com/butik/liste/11/kozmetik,1329,0,380
1729937238517,9599,HTTP Request,429,Too Many Requests,Thread Group 1-491,text,false,,2080,282,488,488,https://www.trendyol.com/butik/liste/11/kozmetik,2418,0,787
1729937238517,2418,HTTP Request-0,301,Moved Permanently,Thread Group 1-491,text,true,,1211,141,488,488,http://www.trendyol.com/butik/liste/11/kozmetik,2418,0,787
1729937240936,7180,HTTP Request-1,429,Too Many Requests,Thread Group 1-491,text,false,,869,141,488,488,https://www.trendyol.com/butik/liste/11/kozmetik,7180,0,6202
1729937237588,10654,HTTP Request,200,OK,Thread Group 1-26,text,true,,273493,282,487,487,https://www.trendyol.com/butik/liste/11/kozmetik,371,0,246
1729937237588,371,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,1211,141,487,487,http://www.trendyol.com/butik/liste/11/kozmetik,371,0,246
1729937237960,10282,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,272282,141,487,487,https://www.trendyol.com/butik/liste/11/kozmetik,1251,0,361
1729937238458,9864,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-461,text,false,,4884,141,486,486,https://www.trendyol.com/butik/liste/11/kozmetik,4512,0,748
1729937238458,4512,HTTP Request-0,301,Moved Permanently,Thread Group 1-461,text,true,,1211,141,486,486,http://www.trendyol.com/butik/liste/11/kozmetik,4512,0,748
1729937242970,5352,HTTP Request-1,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-461,text,false,,3673,0,486,486,https://www.trendyol.com/butik/liste/11/kozmetik,0,0,5352
1729937237880,10531,HTTP Request,429,Too Many Requests,Thread Group 1-172,text,false,,2080,282,485,485,https://www.trendyol.com/butik/liste/11/kozmetik,316,0,189
1729937237880,316,HTTP Request-0,301,Moved Permanently,Thread Group 1-172,text,true,,1211,141,485,485,http://www.trendyol.com/butik/liste/11/kozmetik,316,0,189
1729937238196,10215,HTTP Request-1,429,Too Many Requests,Thread Group 1-172,text,false,,869,141,485,485,https://www.trendyol.com/butik/liste/11/kozmetik,10215,0,9237
1729937237542,11098,HTTP Request,200,OK,Thread Group 1-3,text,true,,273476,282,484,484,https://www.trendyol.com/butik/liste/11/kozmetik,360,0,278
1729937237542,360,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,1209,141,484,484,http://www.trendyol.com/butik/liste/11/kozmetik,360,0,278
1729937237902,10738,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,272267,141,484,484,https://www.trendyol.com/butik/liste/11/kozmetik,778,0,341
1729937238393,10249,HTTP Request,429,Too Many Requests,Thread Group 1-429,text,false,,2078,282,483,483,https://www.trendyol.com/butik/liste/11/kozmetik,4200,0,674
1729937238393,4200,HTTP Request-0,301,Moved Permanently,Thread Group 1-429,text,true,,1209,141,483,483,http://www.trendyol.com/butik/liste/11/kozmetik,4200,0,674
1729937242593,6049,HTTP Request-1,429,Too Many Requests,Thread Group 1-429,text,false,,869,141,483,483,https://www.trendyol.com/butik/liste/11/kozmetik,6049,0,5248
1729937238240,10420,HTTP Request,429,Too Many Requests,Thread Group 1-352,text,false,,2078,282,482,482,https://www.trendyol.com/butik/liste/11/kozmetik,1607,0,342
1729937238240,4353,HTTP Request-0,301,Moved Permanently,Thread Group 1-352,text,true,,1209,141,482,482,http://www.trendyol.com/butik/liste/11/kozmetik,1607,0,342
1729937242593,6067,HTTP Request-1,429,Too Many Requests,Thread Group 1-352,text,false,,869,141,482,482,https://www.trendyol.com/butik/liste/11/kozmetik,6067,0,5249
1729937238149,10515,HTTP Request,429,Too Many Requests,Thread Group 1-306,text,false,,2080,282,481,481,https://www.trendyol.com/butik/liste/11/kozmetik,835,0,207
1729937238149,835,HTTP Request-0,301,Moved Permanently,Thread Group 1-306,text,true,,1211,141,481,481,http://www.trendyol.com/butik/liste/11/kozmetik,835,0,207
1729937238985,9679,HTTP Request-1,429,Too Many Requests,Thread Group 1-306,text,false,,869,141,481,481,https://www.trendyol.com/butik/liste/11/kozmetik,9679,0,8855
1729937238031,10654,HTTP Request,429,Too Many Requests,Thread Group 1-248,text,false,,2080,282,480,480,https://www.trendyol.com/butik/liste/11/kozmetik,374,0,130
1729937238031,374,HTTP Request-0,301,Moved Permanently,Thread Group 1-248,text,true,,1211,141,480,480,http://www.trendyol.com/butik/liste/11/kozmetik,374,0,130
1729937238406,10279,HTTP Request-1,429,Too Many Requests,Thread Group 1-248,text,false,,869,141,480,480,https://www.trendyol.com/butik/liste/11/kozmetik,10279,0,9481
1729937238022,10755,HTTP Request,429,Too Many Requests,Thread Group 1-243,text,false,,2080,282,479,479,https://www.trendyol.com/butik/liste/11/kozmetik,396,0,139
1729937238022,396,HTTP Request-0,301,Moved Permanently,Thread Group 1-243,text,true,,1211,141,479,479,http://www.trendyol.com/butik/liste/11/kozmetik,396,0,139
1729937238419,10358,HTTP Request-1,429,Too Many Requests,Thread Group 1-243,text,false,,869,141,479,479,https://www.trendyol.com/butik/liste/11/kozmetik,10358,0,9505
1729937238057,10723,HTTP Request,429,Too Many Requests,Thread Group 1-260,text,false,,2078,282,478,478,https://www.trendyol.com/butik/liste/11/kozmetik,362,0,105
1729937238057,362,HTTP Request-0,301,Moved Permanently,Thread Group 1-260,text,true,,1209,141,478,478,http://www.trendyol.com/butik/liste/11/kozmetik,362,0,105
1729937238419,10361,HTTP Request-1,429,Too Many Requests,Thread Group 1-260,text,false,,869,141,478,478,https://www.trendyol.com/butik/liste/11/kozmetik,10361,0,9506
1729937238072,11171,HTTP Request,429,Too Many Requests,Thread Group 1-268,text,false,,2078,282,477,477,https://www.trendyol.com/butik/liste/11/kozmetik,366,0,96
1729937238072,366,HTTP Request-0,301,Moved Permanently,Thread Group 1-268,text,true,,1209,141,477,477,http://www.trendyol.com/butik/liste/11/kozmetik,366,0,96
1729937238440,10803,HTTP Request-1,429,Too Many Requests,Thread Group 1-268,text,false,,869,141,477,477,https://www.trendyol.com/butik/liste/11/kozmetik,10803,0,9848
1729937237677,11749,HTTP Request,200,OK,Thread Group 1-71,text,true,,273493,282,476,476,https://www.trendyol.com/butik/liste/11/kozmetik,340,0,192
1729937237677,340,HTTP Request-0,301,Moved Permanently,Thread Group 1-71,text,true,,1209,141,476,476,http://www.trendyol.com/butik/liste/11/kozmetik,340,0,192
1729937238018,11408,HTTP Request-1,200,OK,Thread Group 1-71,text,true,,272284,141,476,476,https://www.trendyol.com/butik/liste/11/kozmetik,3623,0,435
1729937238192,11249,HTTP Request,429,Too Many Requests,Thread Group 1-326,text,false,,2080,282,475,475,https://www.trendyol.com/butik/liste/11/kozmetik,1157,0,319
1729937238192,1157,HTTP Request-0,301,Moved Permanently,Thread Group 1-326,text,true,,1211,141,475,475,http://www.trendyol.com/butik/liste/11/kozmetik,1157,0,319
1729937239349,10092,HTTP Request-1,429,Too Many Requests,Thread Group 1-326,text,false,,869,141,475,475,https://www.trendyol.com/butik/liste/11/kozmetik,10092,0,9021
1729937237917,11562,HTTP Request,429,Too Many Requests,Thread Group 1-191,text,false,,2080,282,474,474,https://www.trendyol.com/butik/liste/11/kozmetik,390,0,209
1729937237917,390,HTTP Request-0,301,Moved Permanently,Thread Group 1-191,text,true,,1211,141,474,474,http://www.trendyol.com/butik/liste/11/kozmetik,390,0,209
1729937238310,11169,HTTP Request-1,429,Too Many Requests,Thread Group 1-191,text,false,,869,141,474,474,https://www.trendyol.com/butik/liste/11/kozmetik,11169,0,10094
1729937238482,11001,HTTP Request,429,Too Many Requests,Thread Group 1-473,text,false,,2080,282,473,473,https://www.trendyol.com/butik/liste/11/kozmetik,2231,0,753
1729937238482,2231,HTTP Request-0,301,Moved Permanently,Thread Group 1-473,text,true,,1211,141,473,473,http://www.trendyol.com/butik/liste/11/kozmetik,2231,0,753
1729937240713,8770,HTTP Request-1,429,Too Many Requests,Thread Group 1-473,text,false,,869,141,473,473,https://www.trendyol.com/butik/liste/11/kozmetik,8770,0,7705
1729937238282,11206,HTTP Request,429,Too Many Requests,Thread Group 1-373,text,false,,2078,282,472,472,https://www.trendyol.com/butik/liste/11/kozmetik,1659,0,397
1729937238282,1659,HTTP Request-0,301,Moved Permanently,Thread Group 1-373,text,true,,1209,141,472,472,http://www.trendyol.com/butik/liste/11/kozmetik,1659,0,397
